"filename", "language", "JavaScript", "XML", "HTML", "CSS", "comment", "blank", "total"
"c:\Users\Jules\Documents\Skole\KEA - Datamatiker\Creative Code\Kode\Shapor\static\css\bootstrap.min.css", "CSS", 0, 0, 0, 2, 10, 0, 12
"c:\Users\Jules\Documents\Skole\KEA - Datamatiker\Creative Code\Kode\Shapor\static\css\style.css", "CSS", 0, 0, 0, 37, 0, 7, 44
"c:\Users\Jules\Documents\Skole\KEA - Datamatiker\Creative Code\Kode\Shapor\static\img\circle.svg", "XML", 0, 3, 0, 0, 0, 0, 3
"c:\Users\Jules\Documents\Skole\KEA - Datamatiker\Creative Code\Kode\Shapor\static\index.html", "HTML", 0, 0, 216, 0, 0, 3, 219
"c:\Users\Jules\Documents\Skole\KEA - Datamatiker\Creative Code\Kode\Shapor\static\js\box.js", "JavaScript", 17, 0, 0, 0, 0, 1, 18
"c:\Users\Jules\Documents\Skole\KEA - Datamatiker\Creative Code\Kode\Shapor\static\js\ellipse.js", "JavaScript", 120, 0, 0, 0, 0, 17, 137
"c:\Users\Jules\Documents\Skole\KEA - Datamatiker\Creative Code\Kode\Shapor\static\js\polygon.js", "JavaScript", 134, 0, 0, 0, 0, 28, 162
"c:\Users\Jules\Documents\Skole\KEA - Datamatiker\Creative Code\Kode\Shapor\static\js\sketch.js", "JavaScript", 356, 0, 0, 0, 5, 73, 434
"c:\Users\Jules\Documents\Skole\KEA - Datamatiker\Creative Code\Kode\Shapor\static\js\utils.js", "JavaScript", 47, 0, 0, 0, 4, 11, 62
"Total", "-", 674, 3, 216, 39, 19, 140, 1091